,postcode,lat,lon,total_square,rooms,floor,city,settlement,district,area,price_mln
28773,141402.0,55.957228,37.451952,62.0,3.0,7.0,Химки,,,Клязьма-Старбеево м-н,12.35
28774,109429.0,55.636762,37.794754,44.7,2.0,1.0,Москва,,Капотня район,,8.5
28775,143408.0,55.838335,37.303415,33.0,1.0,4.0,Красногорск,,,Чернево-1 м-н,5.7
28776,125362.0,55.836889,37.423529,87.0,3.0,11.0,Москва,,Покровское-Стрешнево район,,24.16
28777,121433.0,55.738838,37.471644,44.5,2.0,7.0,Москва,,Фили-Давыдково район,,15.5
28778,,55.591548,37.430471,44.0,2.0,18.0,Москва,,Сосенское поселение,,14.57
28779,143965.0,55.748846,37.850471,60.7,3.0,9.0,Реутов,,,7-й м-н,12.0
28780,105082.0,55.772294,37.689568,43.17,2.0,2.0,Москва,,Басманный район,,15.51
28781,119334.0,55.707975,37.588156,54.6,2.0,4.0,Москва,,Донской район,,20.96
28782,107140.0,55.7835,37.670299,36.0,1.0,5.0,Москва,,Красносельский район,,14.1
28783,142720.0,55.530085,37.613038,53.2,2.0,12.0,,рп. Боброво,,Восточное Бутово м-н,10.3
28784,123423.0,55.749436,37.459377,74.9,2.0,18.0,Москва,,Хорошёво-Мнёвники район,Терехово (бывш.) д.,37.98
28785,129337.0,55.850057,37.683083,36.2,1.0,2.0,Москва,,Ярославский район,,12.67
28786,125310.0,55.857718,37.349456,54.0,2.0,14.0,Москва,,Митино район,,14.99
28787,109386.0,55.681748,37.75227,34.8,1.0,5.0,Москва,,Люблино район,,8.7
28788,117335.0,55.680832,37.551358,59.71,2.0,5.0,Москва,,Ломоносовский район,,30.0
28789,117535.0,55.587039,37.610718,34.0,1.0,9.0,Москва,,Чертаново Южное район,,8.83
28790,,55.569285,37.282335,23.0,1.0,1.0,Москва,,Филимонковское поселение,,5.73
28791,125362.0,55.836889,37.423529,33.5,1.0,28.0,Москва,,Покровское-Стрешнево район,,13.31
28792,121471.0,55.71623,37.431234,68.3,3.0,26.0,Москва,,Можайский район,,26.8
28793,123290.0,55.754241,37.522552,96.0,3.0,39.0,Москва,,Пресненский район,,43.64
28794,141730.0,56.009573,37.472697,89.3,3.0,3.0,Лобня,,,Центральный м-н,15.5
28795,125212.0,55.842524,37.489679,38.0,1.0,18.0,Москва,,Головинский район,,12.5
28796,143405.0,55.809002,37.314564,43.4,2.0,2.0,Красногорск,,,,7.2
28797,140080.0,55.579712,37.906725,35.1,1.0,3.0,Лыткарино,,,2-й м-н,5.1
28798,141100.0,55.92719,38.009215,75.2,2.0,5.0,Щёлково,,,Солнечный м-н,10.2
28799,115487.0,55.673638,37.638002,76.0,3.0,12.0,Москва,,Нагатино-Садовники район,,17.65
28800,117461.0,55.661307,37.565684,53.9,2.0,16.0,Москва,,Черёмушки район,,20.5
28801,143909.0,55.834976,37.92957,77.0,3.0,17.0,Балашиха,,,Алексеевская роща квартал,10.15
28802,141732.0,56.013141,37.460975,30.0,1.0,3.0,Лобня,,,Букино м-н,5.15
